model_type x y x_offset y_offset
transient_ON 149.496406774 89.0144387113 0.0 0.0
transient_ON 6.96125478807 55.8747185254 0.0 0.0
transient_ON 112.576571468 29.5887399144 0.0 0.0
transient_ON 67.0757678427 109.961444617 0.0 0.0
transient_ON 148.188604912 15.203907906 0.0 0.0
transient_ON 235.781066118 104.688931852 0.0 0.0
transient_ON 49.1470834881 112.917120131 0.0 0.0
transient_ON 86.6855843334 19.9147268556 0.0 0.0
transient_ON 0.811948649846 81.3521099457 0.0 0.0
transient_ON 75.7903454031 57.7462063484 0.0 0.0
transient_ON 179.95080535 101.385706727 0.0 0.0
transient_ON 2.17881283669 5.60725424387 0.0 0.0
transient_ON 223.117276703 113.045259531 0.0 0.0
transient_ON 25.9326885756 89.8077667782 0.0 0.0
transient_ON 21.8831674012 40.8888642605 0.0 0.0
transient_ON 130.834568904 37.4940443211 0.0 0.0
transient_ON 165.401900964 119.607217744 0.0 0.0
transient_ON 97.4131250951 28.4803924625 0.0 0.0
transient_ON 13.3697354419 109.928321813 0.0 0.0
transient_ON 175.59946161 113.975827515 0.0 0.0
transient_ON 35.8188826897 101.368067641 0.0 0.0
transient_ON 234.241816739 54.424798751 0.0 0.0
transient_ON 96.9094596538 17.5807635002 0.0 0.0
transient_ON 119.83738816 40.6174512328 0.0 0.0
transient_ON 86.7182959255 94.3227095561 0.0 0.0
transient_ON 87.223623203 84.5363488808 0.0 0.0
transient_ON 70.5244909946 113.465706414 0.0 0.0
transient_ON 60.1661491261 80.5971508685 0.0 0.0
transient_ON 83.4922819266 77.2875687589 0.0 0.0
transient_ON 208.778700591 82.6004348246 0.0 0.0
transient_ON 39.8814282393 100.394433762 0.0 0.0
transient_ON 175.284822136 20.6192105563 0.0 0.0
transient_ON 149.69690243 92.9645695094 0.0 0.0
transient_ON 105.856419726 78.0140476055 0.0 0.0
transient_ON 113.180521094 27.1491114787 0.0 0.0
transient_ON 46.40642443 4.27890606119 0.0 0.0
transient_ON 57.0831383193 108.38187877 0.0 0.0
transient_ON 27.6178652445 99.7644071703 0.0 0.0
transient_ON 130.85300716 40.7247975031 0.0 0.0
transient_ON 195.117564018 77.0755850122 0.0 0.0
transient_ON 229.73102188 116.159630239 0.0 0.0
transient_ON 25.90040146 67.8974416105 0.0 0.0
transient_ON 90.2035929487 51.8020552188 0.0 0.0
transient_ON 230.673383215 109.649672054 0.0 0.0
transient_ON 99.7180116528 38.2983058201 0.0 0.0
transient_ON 29.2526429773 74.602394665 0.0 0.0
transient_ON 3.16879119926 63.9077582005 0.0 0.0
transient_ON 64.2452427934 18.5718787206 0.0 0.0
transient_ON 154.770390743 72.4624468809 0.0 0.0
transient_ON 128.039500787 40.3345974805 0.0 0.0
transient_ON 178.804124259 70.8965636484 0.0 0.0
transient_ON 213.1057382 65.4710744541 0.0 0.0
transient_ON 169.963492072 75.868241473 0.0 0.0
transient_ON 204.456333017 23.5761790564 0.0 0.0
transient_ON 166.709156833 51.9384121139 0.0 0.0
transient_ON 114.81902664 65.8914407093 0.0 0.0
transient_ON 194.837529746 8.21031755146 0.0 0.0
transient_ON 6.13280177066 86.7118302846 0.0 0.0
transient_ON 202.095033149 26.3078531157 0.0 0.0
transient_ON 70.1982981666 110.159739051 0.0 0.0
transient_ON 149.377211117 5.22754629449 0.0 0.0
transient_ON 138.061369869 89.0805149661 0.0 0.0
transient_ON 144.052230995 58.7495714605 0.0 0.0
