edge_type_id target_query source_query delay dynamics_params model_template
100 model_type=='biophysical'&ei=='i' ei=='i' 2.0 GABA_InhToInh.json exp2syn
101 model_type=='point_process'&ei=='i' ei=='i' 2.0 instanteneousInh.json exp2syn
102 model_type=='biophysical'&ei=='e' ei=='i' 2.0 GABA_InhToExc.json exp2syn
103 model_type=='intfire'&ei=='e' ei=='i' 2.0 instanteneousInh.json exp2syn
104 model_name=='PV1' ei=='e' 2.0 AMPA_ExcToInh.json exp2syn
105 model_name=='PV2' ei=='e' 2.0 AMPA_ExcToInh.json exp2syn
106 model_name=='LIF_inh' ei=='e' 2.0 instanteneousExc.json exp2syn
107 model_name=='Scnn1a' ei=='e' 2.0 AMPA_ExcToExc.json exp2syn
108 model_name=='Rorb' ei=='e' 2.0 AMPA_ExcToExc.json exp2syn
109 model_name=='Nr5a1' ei=='e' 2.0 AMPA_ExcToExc.json exp2syn
110 model_name=='LIF_exc' ei=='e' 2.0 instanteneousExc.json exp2syn
